Date,WarehouseID,WarehouseCity,ProductID,SalesVolume
2021-01-01,WH1,New York,P100,91
2021-01-01,WH1,New York,P101,140
2021-01-01,WH1,New York,P102,92
2021-01-01,WH1,New York,P103,92
2021-01-01,WH1,New York,P104,120
2021-01-01,WH2,Los Angeles,P100,180
2021-01-01,WH2,Los Angeles,P101,154
2021-01-01,WH2,Los Angeles,P102,162
2021-01-01,WH2,Los Angeles,P103,157
2021-01-01,WH2,Los Angeles,P104,188
2021-01-01,WH3,Chicago,P100,161
2021-01-01,WH3,Chicago,P101,127
2021-01-01,WH3,Chicago,P102,135
2021-01-01,WH3,Chicago,P103,79
2021-01-01,WH3,Chicago,P104,150
2021-01-02,WH1,New York,P100,129
2021-01-02,WH1,New York,P101,127
2021-01-02,WH1,New York,P102,93
2021-01-02,WH1,New York,P103,169
2021-01-02,WH1,New York,P104,140
2021-01-02,WH2,Los Angeles,P100,166
2021-01-02,WH2,Los Angeles,P101,98
2021-01-02,WH2,Los Angeles,P102,159
2021-01-02,WH2,Los Angeles,P103,143
2021-01-02,WH2,Los Angeles,P104,119
2021-01-02,WH3,Chicago,P100,165
2021-01-02,WH3,Chicago,P101,118
2021-01-02,WH3,Chicago,P102,154
2021-01-02,WH3,Chicago,P103,81
2021-01-02,WH3,Chicago,P104,106
2021-01-03,WH1,New York,P100,164
2021-01-03,WH1,New York,P101,87
2021-01-03,WH1,New York,P102,150
2021-01-03,WH1,New York,P103,103
2021-01-03,WH1,New York,P104,136
2021-01-03,WH2,Los Angeles,P100,113
2021-01-03,WH2,Los Angeles,P101,160
2021-01-03,WH2,Los Angeles,P102,160
2021-01-03,WH2,Los Angeles,P103,157
2021-01-03,WH2,Los Angeles,P104,74
2021-01-03,WH3,Chicago,P100,91
2021-01-03,WH3,Chicago,P101,144
2021-01-03,WH3,Chicago,P102,186
2021-01-03,WH3,Chicago,P103,146
2021-01-03,WH3,Chicago,P104,171
2021-01-04,WH1,New York,P100,40
2021-01-04,WH1,New York,P101,124
2021-01-04,WH1,New York,P102,65
2021-01-04,WH1,New York,P103,49
2021-01-04,WH1,New York,P104,95
2021-01-04,WH2,Los Angeles,P100,66
2021-01-04,WH2,Los Angeles,P101,126
2021-01-04,WH2,Los Angeles,P102,51
2021-01-04,WH2,Los Angeles,P103,148
2021-01-04,WH2,Los Angeles,P104,103
2021-01-04,WH3,Chicago,P100,129
2021-01-04,WH3,Chicago,P101,126
2021-01-04,WH3,Chicago,P102,139
2021-01-04,WH3,Chicago,P103,49
