Timestamp,ShipmentID,PowerDraw_kW,Vibration_mm_s,CompressorCycles_per_hr,Failure_Likely
2023-01-01 00:00:00,S1000,4.88,0.42,9.26,False
2023-01-01 00:15:00,S1000,4.38,0.56,10.38,False
2023-01-01 00:30:00,S1000,4.92,0.48,10.2,False
2023-01-01 00:45:00,S1000,4.59,0.48,10.12,False
2023-01-01 01:00:00,S1000,4.76,0.42,10.18,False
2023-01-01 01:15:00,S1000,4.72,0.56,9.22,False
2023-01-01 01:30:00,S1000,4.69,0.49,9.22,False
2023-01-01 01:45:00,S1000,4.58,0.6,9.23,False
2023-01-01 02:00:00,S1000,4.37,0.45,9.47,False
2023-01-01 02:15:00,S1000,4.23,0.59,9.7,False
2023-01-01 02:30:00,S1000,4.51,0.58,10.03,False
2023-01-01 02:45:00,S1000,4.72,0.59,10.36,False
2023-01-01 03:00:00,S1000,4.5,0.59,9.8,False
2023-01-01 03:15:00,S1000,4.45,0.63,11.23,False
2023-01-01 03:30:00,S1000,4.59,0.4,9.59,False
2023-01-01 03:45:00,S1000,4.69,0.51,10.46,False
2023-01-01 04:00:00,S1000,4.61,0.51,10.18,False
2023-01-01 04:15:00,S1000,4.71,0.53,10.84,False
2023-01-01 04:30:00,S1000,4.42,0.49,10.44,False
2023-01-01 04:45:00,S1000,4.51,0.41,9.52,False
2023-01-01 05:00:00,S1000,4.7,0.66,9.17,False
2023-01-01 05:15:00,S1000,4.52,0.52,9.29,False
2023-01-01 05:30:00,S1000,4.18,0.53,9.93,False
2023-01-01 05:45:00,S1000,4.93,0.45,8.08,False
2023-01-01 06:00:00,S1000,4.52,0.58,9.54,False
2023-01-01 06:15:00,S1000,4.8,0.5,11.45,False
2023-01-01 06:30:00,S1000,4.4,0.66,8.71,False
2023-01-01 06:45:00,S1000,4.44,0.57,10.13,False
2023-01-01 07:00:00,S1000,4.65,0.25,10.47,False
2023-01-01 07:15:00,S1000,4.69,0.41,10.59,False
2023-01-01 07:30:00,S1000,4.65,0.51,9.43,False
2023-01-01 07:45:00,S1000,4.7,0.45,11.27,False
2023-01-01 08:00:00,S1000,4.6,0.55,10.97,False
2023-01-01 08:15:00,S1000,4.25,0.52,10.81,False
2023-01-01 08:30:00,S1000,4.93,0.44,9.34,False
2023-01-01 08:45:00,S1000,4.4,0.65,10.2,False
2023-01-01 09:00:00,S1000,4.47,0.53,9.35,False
2023-01-01 09:15:00,S1000,4.59,0.38,9.41,False
2023-01-01 09:30:00,S1000,4.97,0.27,8.83,False
2023-01-01 09:45:00,S1000,4.47,0.63,8.59,False
2023-01-01 10:00:00,S1000,4.16,0.47,9.83,False
2023-01-01 10:15:00,S1000,4.71,0.49,8.14,False
2023-01-01 10:30:00,S1000,4.71,0.53,10.94,False
2023-01-01 10:45:00,S1000,4.66,0.41,10.04,False
2023-01-01 11:00:00,S1000,4.39,0.7,11.98,False
2023-01-01 11:15:00,S1000,4.41,0.45,10.22,False
2023-01-01 11:30:00,S1000,4.2,0.54,11.63,False
2023-01-01 11:45:00,S1000,4.73,0.55,10.2,False
2023-01-01 12:00:00,S1000,4.8,0.62,10.7,False
2023-01-01 12:15:00,S1000,4.69,0.47,9.49,False
2023-01-01 12:30:00,S1000,4.6,0.54,11.57,False
2023-01-01 12:45:00,S1000,4.53,0.56,9.12,False
2023-01-01 13:00:00,S1000,4.66,0.45,10.92,False
2023-01-01 13:15:00,S1000,4.51,0.43,9.68,False
2023-01-01 13:30:00,S1000,4.66,0.56,13.47,False
2023-01-01 13:45:00,S1000,4.62,0.43,11.45,False
2023-01-01 14:00:00,S1000,4.45,0.43,10.65,False
2023-01-01 14:15:00,S1000,4.78,0.59,8.91,False
2023-01-01 14:30:00,S1000,4.26,0.44,9.54,False
2023-01-01 14:45:00,S1000,4.23,0.45,7.97,False
2023-01-01 15:00:00,S1000,4.84,0.45,9.36,False
2023-01-01 15:15:00,S1000,4.98,0.41,7.93,False
2023-01-01 15:30:00,S1000,3.99,0.56,12.02,False
2023-01-01 15:45:00,S1000,4.4,0.53,10.89,False
2023-01-01 16:00:00,S1000,4.27,0.52,9.6,False
2023-01-01 16:15:00,S1000,4.64,0.51,10.86,False
2023-01-01 16:30:00,S1000,4.85,0.42,12.38,False
2023-01-01 16:45:00,S1000,4.39,0.37,8.86,False
2023-01-01 17:00:00,S1000,4.3,0.61,10.23,False
2023-01-01 17:15:00,S1000,4.58,0.45,8.79,False
2023-01-01 17:30:00,S1000,4.62,0.37,10.34,False
2023-01-01 17:45:00,S1000,4.43,0.59,9.46,False
2023-01-01 18:00:00,S1000,4.48,0.51,9.29,False
2023-01-01 18:15:00,S1000,4.14,0.41,11.4,False
2023-01-01 18:30:00,S1000,4.26,0.53,9.52,False
2023-01-01 18:45:00,S1000,4.47,0.56,10.52,False
2023-01-01 19:00:00,S1000,4.82,0.5,9.27,False
2023-01-01 19:15:00,S1000,4.55,0.74,11.42,False
2023-01-01 19:30:00,S1000,4.62,0.54,11.03,False
2023-01-01 19:45:00,S1000,4.41,0.33,9.87,False
2023-01-01 20:00:00,S1000,4.71,0.55,10.9,False
2023-01-01 20:15:00,S1000,4.42,0.51,11.63,False
2023-01-01 20:30:00,S1000,4.15,0.64,10.31,False
2023-01-01 20:45:00,S1000,4.39,0.42,8.87,False
2023-01-01 21:00:00,S1000,4.21,0.63,9.99,False
2023-01-01 21:15:00,S1000,4.7,0.65,10.89,False
2023-01-01 21:30:00,S1000,4.44,0.51,11.3,False
2023-01-01 21:45:00,S1000,4.5,0.5,9.08,False
2023-01-01 22:00:00,S1000,4.62,0.57,10.88,False
2023-01-01 22:15:00,S1000,3.98,0.57,10.71,False
2023-01-01 22:30:00,S1000,4.31,0.5,9.16,False
2023-01-01 22:45:00,S1000,4.45,0.32,8.35,False
2023-01-01 23:00:00,S1000,4.01,0.45,10.29,False
2023-01-01 23:15:00,S1000,4.39,0.39,10.17,False
2023-01-01 23:30:00,S1000,4.18,0.29,11.81,False
2023-01-01 23:45:00,S1000,4.35,0.54,10.44,False
2023-01-02 00:00:00,S1000,4.97,0.54,10.59,False
2023-01-02 00:15:00,S1000,4.28,0.55,10.31,False
2023-01-02 00:30:00,S1000,4.57,0.65,7.95,False
2023-01-02 00:45:00,S1000,4.88,0.32,7.9,False
2023-01-02 01:00:00,S1000,4.46,0.47,11.62,False
2023-01-02 01:15:00,S1000,4.15,0.62,9.38,False
2023-01-02 01:30:00,S1000,4.91,0.41,9.68,False
2023-01-02 01:45:00,S1000,4.56,0.48,8.63,False
2023-01-02 02:00:00,S1000,4.97,0.52,9.86,False
2023-01-02 02:15:00,S1000,4.72,0.44,10.41,False
2023-01-02 02:30:00,S1000,4.3,0.46,10.0,False
2023-01-02 02:45:00,S1000,4.38,0.49,10.34,False
2023-01-02 03:00:00,S1000,4.11,0.46,9.33,False
2023-01-02 03:15:00,S1000,4.69,0.5,9.32,False
2023-01-02 03:30:00,S1000,4.64,0.56,9.59,False
2023-01-02 03:45:00,S1000,4.51,0.4,10.98,False
2023-01-02 04:00:00,S1000,4.25,0.44,9.2,False
2023-01-02 04:15:00,S1000,4.44,0.45,11.37,False
2023-01-02 04:30:00,S1000,4.54,0.33,10.0,False
2023-01-02 04:45:00,S1000,4.61,0.51,9.54,False
2023-01-02 05:00:00,S1000,4.57,0.48,9.11,False
2023-01-02 05:15:00,S1000,4.59,0.45,9.17,False
2023-01-02 05:30:00,S1000,4.27,0.73,10.42,False
2023-01-02 05:45:00,S1000,4.46,0.4,10.7,False
2023-01-02 06:00:00,S1000,4.61,0.46,9.98,False
2023-01-02 06:15:00,S1000,4.41,0.67,9.27,False
2023-01-02 06:30:00,S1000,4.29,0.37,8.37,False
2023-01-02 06:45:00,S1000,4.69,0.53,8.25,False
2023-01-02 07:00:00,S1000,4.72,0.38,11.03,False
2023-01-02 07:15:00,S1000,4.32,0.46,8.82,False
2023-01-02 07:30:00,S1000,4.3,0.52,8.39,False
2023-01-02 07:45:00,S1000,4.43,0.35,9.43,False
2023-01-02 08:00:00,S1000,4.33,0.49,10.9,False
